action,atpsource,batchnumber,booking_code,cabin_type,carrier_code,cat11_rest_dates,cat14_trvl_comm_on_after,cat14_trvl_comm_on_bef,cat14_trvl_return_by,cat15_rsrv_on_after,cat15_rsrv_on_bef,cat15_tkt_on_after,cat15_tkt_on_bef,cat2_dow,cat2_dow_default,cat2_tod,cat3_seas,cat5_adv_res_last,cat5_adv_tktg,cat5_ap,cat5_res_hold,cat6_dow_cmplx,cat6_unit_of_tm,cat6_unit_of_tm_cmplx,cat7_dow,cat7_rtn_trvl_code,cat7_unit_of_tm,currency_code,destination_city_code,discontinue_date,dom_fare_chg_type,eff_date_cat14,eff_date_cat15,effective_date,fare_amount,fare_class_code,fare_expiry_status,fare_rcvd,fare_tariff_name,fare_tariff_number,fare_tax_amount,fare_tax_rate,fare_type,fn_travel_commence_from_date,fn_travel_commence_indicator,fn_travel_completion_date,fn_travel_expiration_date,footnote_code,gfs_fan,key_column,link_nbr,link_seq_nbr,market,market_real,one_way_fare_amount,origin_city_code,ow_rt_ind,passenger_type,passenger_type_code,rec2Cat14FootNote1,rec2Cat14FootNote2,record0_key,record1_key,record2_agrakey_cat11,record2_agrakey_cat14,record2_agrakey_cat15,record2_agrakey_cat16,record2_agrakey_cat2,record2_agrakey_cat3,record2_agrakey_cat5,record2_agrakey_cat6,record2_agrakey_cat7,record2_agrakey_cat978,record2_agrakey_cat994,record2_footnote1key_cat11,record2_footnote1key_cat14,record2_footnote1key_cat15,record2_footnote1key_cat3,record2_footnote2key_cat11,record2_footnote2key_cat14,record2_footnote2key_cat15,record2_footnote2key_cat3,record2_frakey_cat11,record2_frakey_cat14,record2_frakey_cat15,record2_frakey_cat16,record2_frakey_cat2,record2_frakey_cat3,record2_frakey_cat5,record2_frakey_cat6,record2_frakey_cat7,record2_frakey_cat978,record2_frakey_cat994,record2_grakey_cat11,record2_grakey_cat14,record2_grakey_cat15,record2_grakey_cat16,record2_grakey_cat2,record2_grakey_cat3,record2_grakey_cat5,record2_grakey_cat6,record2_grakey_cat7,record2_grakey_cat978,record2_grakey_cat994,refundable,res_last,routing_number,rule_number,rule_tariff_number,season_type,subdate,subid,subtime,ticket_first,ticket_last,tkt_designator,untaxed_fare_amount
3,ATP ,31270,,,DL,[],00XXX00,00XXX00,00XXX00,00XXX00,00XXX00,00XXX00,00XXX00,O:[MTWQFJS] I:[MTWQFJS],O:[MTWQFJS] I:[MTWQFJS],[],O:[] I:[],0,0,0,0,[],0,[],BLANK:0,BLANK,0,USD,MCO,00XXX00,1,00XXX00,00XXX00,05MAY26,100,UA7ZA5ME,ACTIVE,05MAY26 19:00 (5713),PF17,0,36.209273021221165,0.07500005,,00XXX00,,00XXX00,00XXX00,,,PF17DLUA7ZA5MEGEGMCO4,4,14,GEGMCO,GEGMCO,519,GEG,1,00,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00XXX00,1172,RM57,11,BLANK,27JAN26,3221,2000,00XXX00,00XXX00,,482.79
3,ATP ,27669,,,DL,[],00XXX00,00XXX00,00XXX00,00XXX00,00XXX00,00XXX00,00XXX00,O:[MTWQFJS] I:[MTWQFJS],O:[MTWQFJS] I:[MTWQFJS],[],O:[] I:[],0,0,0,0,[],0,[],BLANK:0,BLANK,0,USD,MLB,00XXX00,2,00XXX00,00XXX00,25APR26,100,UA7ZA5ME,ACTIVE,25APR26 16:00 (5463),PF17,0,36.906773464679716,0.07500005,,00XXX00,,00XXX00,00XXX00,,,PF17DLUA7ZA5MEGEGMLB4,4,8,GEGMLB,GEGMLB,529,GEG,2,00,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00XXX00,9019,RM57,11,BLANK,27JAN26,3221,2000,00XXX00,00XXX00,,492.09
3,ATP ,27669,,,DL,[],00XXX00,00XXX00,00XXX00,00XXX00,00XXX00,00XXX00,00XXX00,O:[MTWQFJS] I:[MTWQFJS],O:[MTWQFJS] I:[MTWQFJS],[],O:[] I:[],0,0,0,0,[],0,[],BLANK:0,BLANK,0,USD,MLB,00XXX00,2,00XXX00,00XXX00,25APR26,100,UA7ZA5ME,ACTIVE,25APR26 16:00 (5463),PF17,0,35.511772577762606,0.07500005,,00XXX00,,00XXX00,00XXX00,C4,,PF17DLUA7ZA5MEGEGMLB2,2,8,GEGMLB,GEGMLB,509,GEG,1,00,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00XXX00,9019,RM57,11,BLANK,27JAN26,3221,2000,00XXX00,00XXX00,,473.49
2,ATP ,28822,,,DL,[],00XXX00,00XXX00,00XXX00,00XXX00,00XXX00,00XXX00,00XXX00,O:[MTWQFJS] I:[MTWQFJS],O:[MTWQFJS] I:[MTWQFJS],[],O:[] I:[],0,0,0,0,[],0,[],BLANK:0,BLANK,0,USD,RSW,00XXX00,64,00XXX00,00XXX00,29APR26,100,UA7ZA5ME,ACTIVE,29APR26 09:00 (5550),PF17,0,22.95376459360123,0.07500005,,00XXX00,,00XXX00,00XXX00,B4,,PF17DLUA7ZA5MEOAKRSW1,1,4,OAKRSW,OAKRSW,329,OAK,1,00,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00XXX00,9018,RM57,11,BLANK,27JAN26,3221,2000,00XXX00,00XXX00,,306.05
3,ATP ,27669,,,DL,[],00XXX00,00XXX00,00XXX00,00XXX00,00XXX00,00XXX00,00XXX00,O:[MTWQFJS] I:[MTWQFJS],O:[MTWQFJS] I:[MTWQFJS],[],O:[] I:[],0,0,0,0,[],0,[],BLANK:0,BLANK,0,USD,MLB,00XXX00,2,00XXX00,00XXX00,25APR26,100,UA7ZA5ME,ACTIVE,25APR26 16:00 (5463),PF17,0,35.511772577762606,0.07500005,,00XXX00,,00XXX00,00XXX00,C3,,PF17DLUA7ZA5MEGEGMLB1,1,8,GEGMLB,GEGMLB,509,GEG,3,00,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00XXX00,9019,RM57,11,BLANK,27JAN26,3221,2000,00XXX00,00XXX00,,473.49
3,ATP ,29535,,,DL,[],00XXX00,00XXX00,00XXX00,00XXX00,00XXX00,00XXX00,00XXX00,O:[MTWQFJS] I:[MTWQFJS],O:[MTWQFJS] I:[MTWQFJS],[],O:[] I:[],0,0,0,0,[],0,[],BLANK:0,BLANK,0,USD,MLB,00XXX00,2,00XXX00,00XXX00,30APR26,100,UA7ZA5ME,ACTIVE,30APR26 15:00 (5586),PF17,0,35.511772577762606,0.07500005,,00XXX00,,00XXX00,00XXX00,Z7,,PF17DLUA7ZA5MEGEGMLB3,4,12,GEGMLB,GEGMLB,509,GEG,1,00,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00XXX00,9019,RM57,11,BLANK,27JAN26,3221,2000,00XXX00,00XXX00,,473.49
2,ATP ,96944,,,UA,[],00XXX00,00XXX00,00XXX00,00XXX00,00XXX00,00XXX00,00XXX00,O:[MTWQFJS] I:[MTWQFJS],O:[MTWQFJS] I:[MTWQFJS],[],O:[] I:[],0,0,0,0,[],0,[],BLANK:0,BLANK,0,USD,XWA,00XXX00,0,00XXX00,00XXX00,28APR26,100,MFA0LFFN,ACTIVE,28APR26 09:00 (5522),OF1,30,0,0,,00XXX00,,00XXX00,00XXX00,L,,OF1UAMFA0LFFNHNLXWA2,2,1,HNLXWA,HNLISN,1728.79,HNL,2,00,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00XXX00,3001,HFF2,11,BLANK,27JAN26,3221,2000,00XXX00,00XXX00,,3457.58
3,ATP ,92863,,,UA,[],00XXX00,00XXX00,00XXX00,00XXX00,00XXX00,00XXX00,00XXX00,O:[MTWQFJS] I:[MTWQFJS],O:[MTWQFJS] I:[MTWQFJS],[],O:[] I:[],0,0,0,0,[],0,[],BLANK:0,BLANK,0,USD,OGG,00XXX00,1,00XXX00,00XXX00,14APR26,100,MFA0LFFN,ACTIVE,14APR26 12:00 (5170),OF1,30,29.971489423569295,0.0096,,00XXX00,,00XXX00,00XXX00,L,,OF1UAMFA0LFFNLWSOGG1,1,11,LWSOGG,LWSOGG,1576,LWS,2,00,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00XXX00,790,HFF2,11,BLANK,27JAN26,3221,2000,00XXX00,00XXX00,,3122.03
3,ATP ,92863,,,UA,[],00XXX00,00XXX00,00XXX00,00XXX00,00XXX00,00XXX00,00XXX00,O:[MTWQFJS] I:[MTWQFJS],O:[MTWQFJS] I:[MTWQFJS],[],O:[] I:[],0,0,0,0,[],0,[],BLANK:0,BLANK,0,USD,LWS,00XXX00,1,00XXX00,00XXX00,14APR26,100,MFA0LFFN,ACTIVE,14APR26 12:00 (5170),OF1,30,29.971489423569295,0.0096,,00XXX00,,00XXX00,00XXX00,L,,OF1UAMFA0LFFNKOALWS1,1,8,KOALWS,KOALWS,1576,KOA,2,00,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00XXX00,790,HFF2,11,BLANK,29JAN26,3221,2000,00XXX00,00XXX00,,3122.03
2,ATP ,98444,,,UA,[],00XXX00,00XXX00,00XXX00,00XXX00,00XXX00,00XXX00,00XXX00,O:[MTWQFJS] I:[MTWQFJS],O:[MTWQFJS] I:[MTWQFJS],[],O:[] I:[],0,0,0,0,[],0,[],BLANK:0,BLANK,0,USD,OGG,00XXX00,0,00XXX00,00XXX00,04MAY26,100,MFA0LFFN,ACTIVE,04MAY26 09:00 (5672),OF1,30,104.4641704628989,0.0292,,00XXX00,,00XXX00,00XXX00,L,,OF1UAMFA0LFFNMOTOGG2,2,1,MOTOGG,MOTOGG,1841,MOT,2,00,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00XXX00,3001,HFF2,11,BLANK,27JAN26,3221,2000,00XXX00,00XXX00,,3577.54
